faculty_name,faculty_email,publication_type,title,journal,year,doi,url,file_created
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Author response to: Enhancing prehabilitation protocols in frail older adults undergoing joint replacement - methodological insights from a pilot randomized controlled trial.,Journal of Frailty and Aging,2025,10.1016/j.tjfa.2025.100067,https://experts.mcmaster.ca/display/publication3610066,2025-07-27T15:11:58.188927
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Virtual Intervention for Vertebral frActures (VIVA): protocol for a feasibility study of a multicentre randomized controlled trial.,Pilot and Feasibility Studies,2025,10.1186/s40814-025-01665-x,https://experts.mcmaster.ca/display/publication3603613,2025-07-27T15:11:58.188932
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Characterizing types and circumstances of fractures in the Canadian Multicentre Osteoporosis Study.,Osteoporosis International,2025,10.1007/s00198-025-07435-y,https://experts.mcmaster.ca/display/publication3598985,2025-07-27T15:11:58.188933
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Web-Based Education Program for Care Partners of People Living With Dementia (iGeriCare): Protocol for a Pilot Randomized Controlled Trial.,JMIR Research Protocols,2025,10.2196/67048,https://experts.mcmaster.ca/display/publication3579525,2025-07-27T15:11:58.188934
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Creating dementia-friendly communities: Challenging stigma and building understanding through public education,Educational Gerontology,2025,10.1080/03601277.2024.2425759,https://experts.mcmaster.ca/display/publication3491950,2025-07-27T15:11:58.188935
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,An Action Research Approach to Implementing a Program for Sharing Meaningful Moments With Hospitalized Patients Living With Dementia.,Journal of Applied Gerontology,2025,10.1177/07334648251345209,https://experts.mcmaster.ca/display/publication3590554,2025-07-27T15:11:58.188936
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Scoping review exploring the impact of hip fracture in older adults with cognitive impairment or dementia.,BMJ Open,2025,10.1136/bmjopen-2024-093893,https://experts.mcmaster.ca/display/publication3576755,2025-07-27T15:11:58.188938
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Getting fit for hip and knee replacement: The Fit-Joints multimodal intervention for frail patients with osteoarthritis - a pilot randomized controlled trial.,Journal of Frailty and Aging,2025,10.1016/j.tjfa.2025.100028,https://experts.mcmaster.ca/display/publication3551144,2025-07-27T15:11:58.188939
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Internet-Based Dementia Prevention Intervention (DementiaRisk): Protocol for a Randomized Controlled Trial and Knowledge Translation.,JMIR Research Protocols,2025,10.2196/64718,https://experts.mcmaster.ca/display/publication3491647,2025-07-27T15:11:58.188940
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Clinical and demographic factors determining patient fracture risk decision point (FRDP): The improving risk communication in osteoporosis (RICO) project.,Osteoporosis International,2025,10.1007/s00198-024-07264-5,https://experts.mcmaster.ca/display/publication3480242,2025-07-27T15:11:58.188941
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,The reliability and validity of a non-wearable indoor positioning system to assess mobility in older adults: A cross-sectional study.,PLoS ONE,2025,10.1371/journal.pone.0307347,https://experts.mcmaster.ca/display/publication3574467,2025-07-27T15:11:58.188942
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Post-Stroke Osteoporosis Screening: A Scoping Review.,Cerebrovascular Diseases,2024,10.1159/000542924,https://experts.mcmaster.ca/display/publication3494243,2025-07-27T15:11:58.188943
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Mapping context of sedentary behaviour in older adults who are prefrail and frail: an analysis of secondary outcomes from a longitudinal study (MAPS-B).,BMJ Open,2024,10.1136/bmjopen-2024-084610,https://experts.mcmaster.ca/display/publication3492242,2025-07-27T15:11:58.188944
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Which adults aged 65 and older are at low-risk for cervical spine injuries after low-level falls?,Canadian Journal of Emergency Medicine,2024,10.1007/s43678-024-00752-x,https://experts.mcmaster.ca/display/publication3466405,2025-07-27T15:11:58.188945
Alexandra Papaioannou,papaioannou@hhsc.ca,journal_articles,Canadian Inpatient Orthogeriatric Models of Care: A Mixed Methods Survey of Facilitators and Barriers.,Canadian Geriatrics Journal,2024,10.5770/cgj.27.743,https://experts.mcmaster.ca/display/publication3466592,2025-07-27T15:11:58.188946
