faculty_name,faculty_email,publication_type,title,journal,year,doi,url,file_created
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,The Association Between Universal Pharmacare and Abortion Use Among Ontario Youth,Journal of Obstetrics and Gynaecology Canada,2025,10.1016/j.jogc.2025.102857,https://experts.mcmaster.ca/display/publication3598688,2025-07-27T15:06:54.376723
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,The effectiveness and cost-effectiveness of population-level policies to reduce alcohol use: A systematic umbrella review.,Canadian Journal of Public Health,2025,10.17269/s41997-025-01013-9,https://experts.mcmaster.ca/display/publication3566715,2025-07-27T15:06:54.376742
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,The effect of cigarette prices on smoking cessation in South Africa using duration analysis: 1970-2017.,Social Science and Medicine,2025,10.1016/j.socscimed.2025.117772,https://experts.mcmaster.ca/display/publication3540454,2025-07-27T15:06:54.376746
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,Would plain packaging and health warning labels reduce smoking in the presence of informal markets? A choice experiment in Colombia,Social Science and Medicine,2024,10.1016/j.socscimed.2024.117069,https://experts.mcmaster.ca/display/publication3446648,2025-07-27T15:06:54.376750
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,Association between children’s caregivers time preferences and childhood overweight and obesity in Mexico,PLoS ONE,2024,10.1371/journal.pone.0283455,https://experts.mcmaster.ca/display/publication3405351,2025-07-27T15:06:54.376754
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,"Cigarette packaging, warnings, prices, and contraband: A discrete choice experiment among smokers in Ontario, Canada",Economics and Human Biology,2024,10.1016/j.ehb.2023.101340,https://experts.mcmaster.ca/display/publication3383130,2025-07-27T15:06:54.376767
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,Evaluating the impact of universal pharmacare on contraceptive use in Ontario youth and young adults,Journal of Obstetrics and Gynaecology Canada,2023,10.1016/j.jogc.2023.03.036,https://experts.mcmaster.ca/display/publication3443684,2025-07-27T15:06:54.376771
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,Return on investment of Canadian tobacco control policies implemented between 2001 and 2016,Tobacco Control,2023,10.1136/tobaccocontrol-2021-056473,https://experts.mcmaster.ca/display/publication2068072,2025-07-27T15:06:54.376774
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,"Do cigarette prices near secondary schools vary by area-level socioeconomic status? Findings from a field study in Ontario and Québec, Canada",Health & Place,2023,10.1016/j.healthplace.2022.102936,https://experts.mcmaster.ca/display/publication2579974,2025-07-27T15:06:54.376778
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,Socioeconomic differences in the impact of prices and taxes on tobacco use in low- and middle-income countries–A systematic review,PLOS Global Public Health,2023,10.1371/journal.pgph.0002342,https://experts.mcmaster.ca/display/publication3294244,2025-07-27T15:06:54.376783
Emmanuel Guindon,emmanuel.guindon@mcmaster.ca,journal_articles,"HPR136 The Associations of Prescription Drug Insurance and Cost-Sharing With Drug Use, Health Services Use, and Health – A Systematic Review of Canadian Studies",Value in Health,2022,10.1016/j.jval.2022.09.1265,https://experts.mcmaster.ca/display/publication3443686,2025-07-27T15:06:54.376794
