faculty_name,faculty_email,publication_type,title,journal,year,doi,url,file_created
Lawrence Mbuagbaw,mbuagblc@mcmaster.ca,journal_articles,Assessing the statistical fragility of randomized controlled trials in hip and knee arthroplasty: A methodological review.,Journal of Orthopaedics,2025,10.1016/j.jor.2025.05.065,https://experts.mcmaster.ca/display/publication3595515,2025-07-27T15:10:17.129013
Lawrence Mbuagbaw,mbuagblc@mcmaster.ca,journal_articles,"Induction of lung mucosal immunity by a next-generation inhaled aerosol COVID-19 vaccine: an open-label, multi-arm phase 1 clinical trial.",Nature Communications,2025,10.1038/s41467-025-60726-0,https://experts.mcmaster.ca/display/publication3601970,2025-07-27T15:10:17.129022
Lawrence Mbuagbaw,mbuagblc@mcmaster.ca,journal_articles,"COVID-19 vaccine uptake in a retrospective population-based cohort of people living with and without HIV in Ontario, Canada.",Vaccine,2025,10.1016/j.vaccine.2025.127422,https://experts.mcmaster.ca/display/publication3603644,2025-07-27T15:10:17.129023
Lawrence Mbuagbaw,mbuagblc@mcmaster.ca,journal_articles,Gender equality in leadership of HIV care cascade clinical trials: A methodological study.,HIV Medicine,2025,10.1111/hiv.70062,https://experts.mcmaster.ca/display/publication3598270,2025-07-27T15:10:17.129025
Lawrence Mbuagbaw,mbuagblc@mcmaster.ca,journal_articles,Gaps in the Ottawa Statement on the Ethical Design and Conduct of Cluster Randomized Trials: a citation analysis reveals a need for updated ethics guidelines.,Research Integrity and Peer Review,2025,10.1186/s41073-025-00166-y,https://experts.mcmaster.ca/display/publication3596605,2025-07-27T15:10:17.129026
Lawrence Mbuagbaw,mbuagblc@mcmaster.ca,journal_articles,Protocol for the development of a transdiagnostic core outcome set for mental health disorders in adults: the Patient Important Outcomes in Psychiatry (PIO-Psych) Initiative.,BMJ Open,2025,10.1136/bmjopen-2024-093958,https://experts.mcmaster.ca/display/publication3593639,2025-07-27T15:10:17.129027
Lawrence Mbuagbaw,mbuagblc@mcmaster.ca,journal_articles,Re-drawing the map: a case study of decolonized research methods & methodologies.,International Journal for Equity in Health,2025,10.1186/s12939-025-02539-7,https://experts.mcmaster.ca/display/publication3592906,2025-07-27T15:10:17.129028
Lawrence Mbuagbaw,mbuagblc@mcmaster.ca,journal_articles,Exploring the therapeutic potential of ultrasound-guided nerve hydrodissection: a comprehensive retrospective analysis.,Clinical Radiology,2025,10.1016/j.crad.2025.106863,https://experts.mcmaster.ca/display/publication3554482,2025-07-27T15:10:17.129029
Lawrence Mbuagbaw,mbuagblc@mcmaster.ca,journal_articles,Factors associated with emergency free flap reoperation in postmastectomy breast reconstruction: A population-based cohort study.,"Journal of Plastic, Reconstructive and Aesthetic Surgery",2025,10.1016/j.bjps.2025.03.044,https://experts.mcmaster.ca/display/publication3568531,2025-07-27T15:10:17.129030
Lawrence Mbuagbaw,mbuagblc@mcmaster.ca,journal_articles,"The Ecological, Biological, and Social Determinants of Dengue Epidemiology in Latin America and the Caribbean: A Scoping Review of the Literature.",EcoHealth,2025,10.1007/s10393-025-01706-0,https://experts.mcmaster.ca/display/publication3562014,2025-07-27T15:10:17.129031
