faculty_name,faculty_email,publication_type,title,journal,year,doi,url,file_created
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Cannabis consumption and motor vehicle collision: A systematic review and meta-analysis of observational studies.,"International Journal on Drug Policy, The",2025,10.1016/j.drugpo.2025.104832,https://experts.mcmaster.ca/display/publication3585523,2025-07-27T15:12:48.636010
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Intra-operative ventilation strategies and their impact on clinical outcomes: a systematic review and network meta-analysis of randomised trials.,Anaesthesia,2025,10.1111/anae.16600,https://experts.mcmaster.ca/display/publication3560422,2025-07-27T15:12:48.636013
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Empiric antibiotic therapy for moderate to severe community-acquired pneumonia: a systematic review and network meta-analysis.,Clinical Microbiology and Infection (CMI),2025,10.1016/j.cmi.2025.06.033,https://experts.mcmaster.ca/display/publication3601868,2025-07-27T15:12:48.636014
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,The Prevention of Smoking Relapse in Postpartum Women: A Systematic Review and Network Meta-analysis.,Journal of Addiction Medicine,2025,10.1097/ADM.0000000000001522,https://experts.mcmaster.ca/display/publication3598323,2025-07-27T15:12:48.636015
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Cost-Effectiveness of Medical Cannabis Versus Opioids for Chronic Noncancer Pain.,Cannabis and Cannabinoid Research,2025,10.1089/can.2024.0120,https://experts.mcmaster.ca/display/publication3579647,2025-07-27T15:12:48.636016
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,"Design, analysis, and reporting of pilot and feasibility trials in anesthesiology: a methodological study.",Pilot and Feasibility Studies,2025,10.1186/s40814-025-01655-z,https://experts.mcmaster.ca/display/publication3585450,2025-07-27T15:12:48.636018
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Acupuncture for the Management of Chronic Diabetic Peripheral Neuropathy: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,Current Pain and Headache Reports,2025,10.1007/s11916-025-01386-z,https://experts.mcmaster.ca/display/publication3568627,2025-07-27T15:12:48.636019
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Pharmacologic Management of Acute Pain in Children: A Systematic Review and Network Meta-Analysis.,JAMA Pediatrics,2025,10.1001/jamapediatrics.2024.5920,https://experts.mcmaster.ca/display/publication3538595,2025-07-27T15:12:48.636020
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Common interventional procedures for chronic non-cancer spine pain: a systematic review and network meta-analysis of randomised trials.,The BMJ,2025,10.1136/bmj-2024-079971,https://experts.mcmaster.ca/display/publication3545007,2025-07-27T15:12:48.636020
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Commonly used interventional procedures for non-cancer chronic spine pain: a clinical practice guideline.,The BMJ,2025,10.1136/bmj-2024-079970,https://experts.mcmaster.ca/display/publication3543030,2025-07-27T15:12:48.636022
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Pharmacological interventions for preventing upper gastrointestinal bleeding in people admitted to intensive care units: a network meta-analysis,BMJ Evidence-Based Medicine,2025,10.1136/bmjebm-2024-112886,https://experts.mcmaster.ca/display/publication3450451,2025-07-27T15:12:48.636023
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,American Society for Gastrointestinal Endoscopy guideline on the role of endoscopy in the management of chronic pancreatitis: methodology and review of evidence.,Gastrointestinal Endoscopy,2025,10.1016/j.gie.2024.05.017,https://experts.mcmaster.ca/display/publication3468819,2025-07-27T15:12:48.636023
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,"Traditional, complementary and integrative medicine therapies for the treatment of mild/moderate acute COVID-19: protocol for a systematic review and network meta-analysis.",BMJ Open,2024,10.1136/bmjopen-2024-088959,https://experts.mcmaster.ca/display/publication3486219,2025-07-27T15:12:48.636024
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Health Technology Assessment Reports for Non-Oncology Medications in Canada from 2018 to 2022: Methodological Critiques on Manufacturers’ Submissions and a Comparison between Manufacturer and Canadian Agency for Drugs and Technologies in Health (CADTH) Analyses,PharmacoEconomics - Open,2024,10.1007/s41669-024-00511-9,https://experts.mcmaster.ca/display/publication3458431,2025-07-27T15:12:48.636025
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Publisher Correction: Health Technology Assessment Reports for Non-Oncology Medications in Canada from 2018 to 2022: Methodological Critiques on Manufacturers' Submissions and a Comparison Between Manufacturer and Canadian Agency for Drugs and Technologies in Health (CADTH) Analyses.,PharmacoEconomics - Open,2024,10.1007/s41669-024-00522-6,https://experts.mcmaster.ca/display/publication3472680,2025-07-27T15:12:48.636026
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Assessment of Coronary Stenoses for Percutaneous Coronary Intervention: A Systematic Review and Network Meta-Analysis of Randomized Trials,American Journal of Cardiology,2024,10.1016/j.amjcard.2024.05.019,https://experts.mcmaster.ca/display/publication3431611,2025-07-27T15:12:48.636027
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Comparative effectiveness of alternative spontaneous breathing trial techniques: a systematic review and network meta-analysis of randomized trials,Critical Care,2024,10.1186/s13054-024-04958-4,https://experts.mcmaster.ca/display/publication3439149,2025-07-27T15:12:48.636028
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,P.067 Pharmacological prophylaxis for chronic migraine: A systematic review and network meta-analysis of randomized controlled trials,Canadian Journal of Neurological Sciences,2024,10.1017/cjn.2024.173,https://experts.mcmaster.ca/display/publication3438856,2025-07-27T15:12:48.636029
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Empiric antibiotic regimens in adults with non-ventilator-associated hospital-acquired pneumonia: a systematic review and network meta-analysis of randomized controlled trials,Clinical Microbiology and Infection (CMI),2024,10.1016/j.cmi.2024.05.017,https://experts.mcmaster.ca/display/publication3436940,2025-07-27T15:12:48.636030
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Mesenchymal stem cells for chronic knee pain secondary to osteoarthritis: A systematic review and meta-analysis of randomized trials,Osteoarthritis and Cartilage,2024,10.1016/j.joca.2024.04.021,https://experts.mcmaster.ca/display/publication3431417,2025-07-27T15:12:48.636031
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,The GRADE Working Group and CINeMA approaches provided inconsistent certainty of evidence ratings for a network meta-analysis of opioids for chronic noncancer pain,Journal of Clinical Epidemiology,2024,10.1016/j.jclinepi.2024.111276,https://experts.mcmaster.ca/display/publication3401205,2025-07-27T15:12:48.636032
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Comparative benefits and harms of perioperative interventions to prevent chronic pain after orthopedic surgery: a systematic review and network meta-analysis of randomized trials,Systematic Reviews,2024,10.1186/s13643-024-02528-x,https://experts.mcmaster.ca/display/publication3418279,2025-07-27T15:12:48.636033
Behnam Sadeghirad,sadeghb@mcmaster.ca,journal_articles,Comparison of safety and effectiveness of antiretroviral therapy regimens among pregnant women living with HIV at preconception or during pregnancy: a systematic review and network meta-analysis of randomized trials,BMC Infectious Diseases,2024,10.1186/s12879-024-09303-2,https://experts.mcmaster.ca/display/publication3416874,2025-07-27T15:12:48.636034
