faculty_name,faculty_email,publication_type,title,journal,year,doi,url,file_created
Magdalena Janus,janusm@mcmaster.ca,journal_articles,Correction to: Targeted Child Mental Health Prevention and Parenting Support Within a Canadian Context: A Randomized Controlled Trial Evaluating the U.S.-Developed Family Check-Up®.,Prevention Science,2025,10.1007/s11121-024-01764-w,https://experts.mcmaster.ca/display/publication3513844,2025-07-27T15:08:39.083875
Magdalena Janus,janusm@mcmaster.ca,journal_articles,"Educators' Perceptions of Their Own Mental Health and Young Children's Skills in the Second Year of the COVID-19 Pandemic in Ontario, Canada",Journal of Education,2025,10.1177/00220574251320091,https://experts.mcmaster.ca/display/publication3542864,2025-07-27T15:08:39.083917
Magdalena Janus,janusm@mcmaster.ca,journal_articles,The association between learning models and child health behaviours during the COVID-19 pandemic.,Preventive Medicine Reports,2025,10.1016/j.pmedr.2025.103071,https://experts.mcmaster.ca/display/publication3576867,2025-07-27T15:08:39.083927
Magdalena Janus,janusm@mcmaster.ca,journal_articles,Children supervising children across low- and middle-income countries: the role of mothers' education,Palgrave Communications,2025,10.1057/s41599-025-05008-2,https://experts.mcmaster.ca/display/publication3588040,2025-07-27T15:08:39.083931
Magdalena Janus,janusm@mcmaster.ca,journal_articles,"Variations in Conduct, Attention Deficit Hyperactivity Disorder, Mood and Anxiety Disorders Among Children and Youth from Immigrant, Refugee, and Non-Immigrant Backgrounds in British Columbia, Canada: A Population-Based Study.",Child Psychiatry and Human Development,2025,10.1007/s10578-025-01842-2,https://experts.mcmaster.ca/display/publication3581651,2025-07-27T15:08:39.083935
Magdalena Janus,janusm@mcmaster.ca,journal_articles,COVID-19 Pandemic and the Developmental Health of Kindergarteners.,JAMA Pediatrics,2025,10.1001/jamapediatrics.2024.7057,https://experts.mcmaster.ca/display/publication3554888,2025-07-27T15:08:39.083938
Magdalena Janus,janusm@mcmaster.ca,journal_articles,Targeted Child Mental Health Prevention and Parenting Support Within a Canadian Context: A Randomized Controlled Trial Evaluating the U.S.-Developed Family Check-Up®.,Prevention Science,2025,10.1007/s11121-024-01741-3,https://experts.mcmaster.ca/display/publication3491943,2025-07-27T15:08:39.083942
Magdalena Janus,janusm@mcmaster.ca,journal_articles,Correction: Feasibility and acceptability of implementing the Global Scales for Early Development (GSED) package for children 0-3 years across three countries.,Pilot and Feasibility Studies,2025,10.1186/s40814-025-01620-w,https://experts.mcmaster.ca/display/publication3561948,2025-07-27T15:08:39.083945
Magdalena Janus,janusm@mcmaster.ca,journal_articles,Feasibility and acceptability of implementing the Global Scales for Early Development (GSED) package for children 0-3 years across three countries.,Pilot and Feasibility Studies,2025,10.1186/s40814-024-01583-4,https://experts.mcmaster.ca/display/publication3540552,2025-07-27T15:08:39.083948
Magdalena Janus,janusm@mcmaster.ca,journal_articles,"Disparities in Child Development by Maternal Birthplace and Child Sex among Kindergarten Children in Manitoba, Canada: A Population-Based Data Linkage Study.",Journal of Immigrant and Minority Health,2025,10.1007/s10903-024-01638-x,https://experts.mcmaster.ca/display/publication3482348,2025-07-27T15:08:39.083952
Magdalena Janus,janusm@mcmaster.ca,journal_articles,"Childhood poverty, social support, immigration background and adolescent health and life satisfaction: A population-based longitudinal study.",Journal of Adolescence,2025,10.1002/jad.12408,https://experts.mcmaster.ca/display/publication3478067,2025-07-27T15:08:39.083955
Magdalena Janus,janusm@mcmaster.ca,journal_articles,"Mental health disorders among children with special health needs: A population-based cohort study using linked administrative data from Manitoba, Canada.",PLoS ONE,2025,10.1371/journal.pone.0326672,https://experts.mcmaster.ca/display/publication3599008,2025-07-27T15:08:39.083958
Magdalena Janus,janusm@mcmaster.ca,journal_articles,"Parents' Perceptions of Children's Emotions, Parenting Experiences and Relationships Among Food Secure and Food Insecure Families in Atlantic Canada During the COVID-19 Pandemic",Journal of Hunger and Environmental Nutrition,2025,10.1080/19320248.2025.2483816,https://experts.mcmaster.ca/display/publication3562848,2025-07-27T15:08:39.083961
Magdalena Janus,janusm@mcmaster.ca,journal_articles,"Changes in peer belonging, school climate, and the emotional health of immigrant, refugee, and non-immigrant early adolescents.",Journal of Adolescence,2024,10.1002/jad.12390,https://experts.mcmaster.ca/display/publication3466007,2025-07-27T15:08:39.083964
Magdalena Janus,janusm@mcmaster.ca,journal_articles,Does receipt of social housing impact mental health? Results of a quasi-experimental study in the Greater Toronto Area.,Social Science and Medicine,2024,10.1016/j.socscimed.2024.117363,https://experts.mcmaster.ca/display/publication3481740,2025-07-27T15:08:39.083968
