faculty_name,faculty_email,publication_type,title,journal,year,doi,url,file_created
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Cost-Effectiveness of Medical Cannabis Versus Opioids for Chronic Noncancer Pain.,Cannabis and Cannabinoid Research,2025,10.1089/can.2024.0120,https://experts.mcmaster.ca/display/publication3579647,2025-07-27T15:09:37.977102
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Inadequate Reporting of Harm From Randomized Clinical Trials in Top Medical Publications.,Journal of Evidence-Based Medicine,2025,10.1111/jebm.70006,https://experts.mcmaster.ca/display/publication3546880,2025-07-27T15:09:37.977105
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Health Technology Assessment Reports for Non-Oncology Medications in Canada from 2018 to 2022: Methodological Critiques on Manufacturers’ Submissions and a Comparison between Manufacturer and Canadian Agency for Drugs and Technologies in Health (CADTH) Analyses,PharmacoEconomics - Open,2024,10.1007/s41669-024-00511-9,https://experts.mcmaster.ca/display/publication3458431,2025-07-27T15:09:37.977107
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Publisher Correction: Health Technology Assessment Reports for Non-Oncology Medications in Canada from 2018 to 2022: Methodological Critiques on Manufacturers' Submissions and a Comparison Between Manufacturer and Canadian Agency for Drugs and Technologies in Health (CADTH) Analyses.,PharmacoEconomics - Open,2024,10.1007/s41669-024-00522-6,https://experts.mcmaster.ca/display/publication3472680,2025-07-27T15:09:37.977108
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Pedagogic Strategies and Contents in Medical Writing/Publishing Education: A Comprehensive Systematic Survey.,"European Journal of Investigation in Health, Psychology and Education",2024,10.3390/ejihpe14090165,https://experts.mcmaster.ca/display/publication3473970,2025-07-27T15:09:37.977109
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Prescribing Competence of Canadian Medical Graduates: National Survey of Medical School Leaders,International Medical Education,2024,10.3390/ime3020010,https://experts.mcmaster.ca/display/publication3414424,2025-07-27T15:09:37.977110
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Improving medication prescribing-related outcomes for vulnerable elderly in transitions on high-risk medications (IMPROVE-IT HRM): a pilot randomized trial protocol,Pilot and Feasibility Studies,2024,10.1186/s40814-024-01484-6,https://experts.mcmaster.ca/display/publication3412946,2025-07-27T15:09:37.977111
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Scoring the Value Assessment Framework for China: A Factorial Survey,Value in Health,2024,10.1016/j.jval.2023.12.002,https://experts.mcmaster.ca/display/publication3384358,2025-07-27T15:09:37.977112
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Cannabis for medical use versus opioids for chronic non-cancer pain: a systematic review and network meta-analysis of randomised clinical trials,BMJ Open,2024,10.1136/bmjopen-2022-068182,https://experts.mcmaster.ca/display/publication3385438,2025-07-27T15:09:37.977113
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,How Pharmacies and Retailer Shops Convey Information on Health Products to Their Customers,Natural Product Communications,2023,10.1177/1934578x231210251,https://experts.mcmaster.ca/display/publication3307419,2025-07-27T15:09:37.977114
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Health Technology Reassessment: Addressing Uncertainty in Economic Evaluations of Oncology Drugs at Time of Reimbursement Using Long-Term Clinical Trial Data,Current Oncology,2023,10.3390/curroncol30070484,https://experts.mcmaster.ca/display/publication3276218,2025-07-27T15:09:37.977115
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Olaparib versus Placebo in Maintenance Treatment of Germline BRCA-Mutated Metastatic Pancreatic Cancer: A Cost–Utility Analysis from the Canadian Public Payer’s Perspective,Current Oncology,2023,10.3390/curroncol30050354,https://experts.mcmaster.ca/display/publication3221775,2025-07-27T15:09:37.977116
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Evaluating the impact of universal pharmacare on contraceptive use in Ontario youth and young adults,Journal of Obstetrics and Gynaecology Canada,2023,10.1016/j.jogc.2023.03.036,https://experts.mcmaster.ca/display/publication3443684,2025-07-27T15:09:37.977117
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Identifying Attributes for a Value Assessment Framework in China: A Qualitative Study,PharmacoEconomics (Auckland),2023,10.1007/s40273-022-01235-6,https://experts.mcmaster.ca/display/publication2777215,2025-07-27T15:09:37.977118
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,"In acute HF in the ED, a risk-based management algorithm vs. usual care reduced a composite clinical outcome at 30 d",ACP journal club,2023,10.7326/j23-0004,https://experts.mcmaster.ca/display/publication3010004,2025-07-27T15:09:37.977119
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,"In adults with acute HF, high-intensity care vs. usual care reduced a composite of death or HF readmission at 180 d",ACP journal club,2023,10.7326/j23-0005,https://experts.mcmaster.ca/display/publication3126071,2025-07-27T15:09:37.977120
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,"The effect of preoperative statins on postoperative mortality, renal, and neurological complications in patients undergoing cardiac surgeries: a retrospective cohort study",Journal of Cardiovascular Surgery,2023,10.23736/s0021-9509.22.12437-7,https://experts.mcmaster.ca/display/publication2834949,2025-07-27T15:09:37.977121
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,"Cancer risk with topical calcineurin inhibitors, pimecrolimus and tacrolimus, for atopic dermatitis: a systematic review and meta-analysis",The Lancet Child and Adolescent Health,2023,10.1016/s2352-4642(22)00283-8,https://experts.mcmaster.ca/display/publication2499029,2025-07-27T15:09:37.977122
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,"Appraisals by Health Technology Assessment Agencies of Economic Evaluations Submitted as Part of Reimbursement Dossiers for Oncology Treatments: Evidence from Canada, the UK, and Australia",Current Oncology,2022,10.3390/curroncol29100602,https://experts.mcmaster.ca/display/publication2444997,2025-07-27T15:09:37.977123
Mitchell Arnold Levine,levinem@mcmaster.ca,journal_articles,Early impacts of the COVID-19 pandemic on children with pediatric rheumatic diseases,European Journal of Rheumatology,2022,10.5152/eujrheum.2022.21133,https://experts.mcmaster.ca/display/publication3242212,2025-07-27T15:09:37.977124
